1,1
1,2
1,3
1,4
2,1
2,2
2,3
2,4
3,1
3,2
3,3
3,4
4,1
4,2
4,3
4,4
5,1
5,2
5,3
5,4
6,1
6,2
6,3
6,4
9,1
9,2
9,3
9,4
10,1
10,2
10,3
10,4
11,1
11,2
11,3
11,4
12,1
12,2
12,3
12,4
13,1
13,2
13,3
13,4
14,1
14,2
14,3
14,4
15,1
15,2
15,3
15,4
16,1
16,2
16,3
16,4
17,1
17,2
17,3
17,4
18,1
18,2
18,3
18,4
19,1
19,2
19,3
19,4
20,1
20,2
20,3
20,4
21,1
21,2
21,3
21,4
22,1
22,2
22,3
22,4
23,1
23,2
23,3
23,4
24,1
24,2
24,3
24,4
25,1
25,2
25,3
25,4
26,1
26,2
26,3
26,4
27,1
27,2
27,3
27,4
28,1
28,2
28,3
28,4
29,1
29,2
29,3
29,4
30,1
30,2
30,3
30,4
31,1
31,2
31,3
31,4
32,1
32,2
32,3
32,4
33,1
33,2
33,3
33,4
34,1
34,2
34,3
34,4
35,1
35,2
35,3
35,4
36,1
36,2
36,3
36,4
37,1
37,2
37,3
37,4
38,1
38,2
38,3
38,4
39,1
39,2
39,3
39,4
40,1
40,2
40,3
40,4
41,1
41,2
41,3
41,4
42,1
42,2
42,3
42,4
43,1
43,2
43,3
43,4
44,1
44,2
44,3
44,4
45,1
45,2
45,3
45,4
46,1
46,2
46,3
46,4
47,1
47,2
47,3
47,4
48,1
48,2
48,3
48,4
49,1
49,2
49,3
49,4
50,1
50,2
50,3
50,4
51,1
51,2
51,3
51,4
52,1
52,2
52,3
52,4
53,1
53,2
53,3
53,4
54,1
54,2
54,3
54,4
55,1
55,2
55,3
55,4
56,1
56,2
56,3
56,4
57,1
57,2
57,3
57,4
58,1
58,2
58,3
58,4
59,1
59,2
59,3
59,4
60,1
60,2
60,3
60,4
61,1
61,2
61,3
61,4
62,1
62,2
62,3
62,4
63,1
63,2
63,3
63,4
64,1
64,2
64,3
64,4
65,1
65,2
65,3
65,4
66,1
66,2
66,3
66,4
67,1
67,2
67,3
67,4
68,1
68,2
68,3
68,4
69,1
69,2
69,3
69,4
70,1
70,2
70,3
70,4
71,1
71,2
71,3
71,4
72,1
72,2
72,3
72,4
